"","sub_id","condition","SMD","NAP","TAU_U","glmm","pmg","brms_raw"
"1",1,0,0.124635390569951,0.55,0.12,1.07407657711069,0.12037037037037,3.41542518916742
"2",1,1,4.46864981496997,0.99,0.98,1.48456435426708,0.779411764705882,22.6879915159464
"3",2,0,2.68635158690832,1,0.86,1.15699902167781,0.166666666666667,6.37198584340119
"4",2,1,4.96407091004953,0.98,0.86,1.31348714512238,0.626865671641791,17.199782991693
"5",3,0,3.41791359360259,1,0.98,1.16540899625054,0.291666666666667,8.32776212702724
"6",3,1,5.01129159780798,1,1,1.18261804071895,0.508928571428572,12.6823818638207
"7",4,0,0.268328157299977,0.46,-0.16,0.991338245433826,-0.0194174757281554,-0.416724563237206
"8",4,1,11.8566678045972,0.94,0.84,1.39072516350696,0.798387096774194,20.2720231865593
"9",5,0,0.831800391856058,0.76,0.4,1.02150828700289,0.166666666666667,3.0615705149234
"10",5,1,5.50156879982967,1,1.08,1.26190002498724,0.580152671755725,15.0603401179491
"11",6,0,2.4265201420965,1,1.08,1.06791192861835,0.291338582677165,5.15093116828518
"12",6,1,3.46953727302199,0.92,0.82,1.31699566110581,0.708333333333333,16.7563805662452
"13",7,0,2.51564516341938,0.91,0.8,1.14079031840475,0.224137931034483,5.62654516346665
"14",7,1,3.90946184172347,0.97,1.08,1.29352237927824,0.858490566037736,17.5263277501723
"15",8,0,8.40761559539921,1,1,1.16107286692593,0.274809160305344,5.59856851992224
"16",8,1,0.219089023002067,0.5,0.1,1.07974123129234,0.210526315789474,3.99745855799525
"17",9,0,2.59383885389976,0.95,0.88,1.09792188923566,0.0136054421768707,2.14786808561651
"18",9,1,3.00470741781403,0.9,0.8,1.32215170764273,0.464285714285714,10.9112480857814
"19",10,0,0.377551922979415,0.6,0.06,1.02731576916577,0.220183486238532,2.18301672090454
"20",10,1,4.63748700421745,0.98,0.96,1.29890818462736,0.776785714285714,16.7094907841937
"21",11,0,1.77223875047332,0.9,0.76,1.18554924717424,0.242424242424242,6.52872833385836
"22",11,1,2.90127408294146,0.84,0.74,1.20198700189003,0.51219512195122,12.5226150774772
"23",12,0,1.11978833978834,0.74,0.52,1.07421742062678,0.214876033057851,3.78169676811132
"24",12,1,16.7968250968251,1,0.96,1.33613305962235,0.700854700854701,17.0657150528028
"25",13,0,0.730296743340221,0.78,0.56,1.05151235907864,0.181818181818182,3.62869527882161
